Item Code,Buying,Selling
SDCZ73-512G-G46,$47.20,$51.90
SDCZ74-032G-G46,$7.20,$7.90
SDCZ74-064G-G46,$8.20,$9.00
SDCZ74-128G-G46,$13.30,$14.60
SDCZ74-256G-G46,$25.00,$27.50
SDCZ74-512G-G46,$48.50,$53.40
SDCZ96-064G-G46,$7.80,$8.60
SDCZ96-128G-G46,$12.50,$13.80
SDCZ96-256G-G46,$23.20,$25.50
SDCZ96-512G-G46,$44.50,$49.00
SDCZ480-064G-G46,$8.40,$9.20
SDCZ480-128G-G46,$14.10,$15.50
SDCZ480-256G-G46,$26.40,$29.00
SDCZ75-064G-G46,$9.10,$10.00
SDCZ75-128G-G46,$15.10,$16.60
SDCZ75-256G-G46,$28.10,$30.90
SDCZ810-064G-G46,$20.60,$22.70
SDCZ810-128G-G46,$34.20,$37.60
SDCZ810-256G-G46,$59.80,$65.80
SDCZ880-128G-G46,$44.60,$49.10
SDCZ880-256G-G46,$72.50,$79.80
SDCZ880-512G-G46,$130.30,$143.30
SDCZ880-1T00-G46,$247.40,$272.10
SDDDC2-032G-G46,$8.40,$9.20
SDDDC2-064G-G46,$9.80,$10.80
SDDDC2-128G-G46,$14.70,$16.20
SDDDC2-256G-G46,$25.90,$28.50
SDDDC3-032G-G46,$7.80,$8.60
SDDDC3-064G-G46,$9.10,$10.00
SDDDC3-064G-G46G,$9.10,$10.00
SDDDC3-064G-G46NB,$9.10,$10.00
SDDDC3-064G-G46PC,$9.10,$10.00
SDDDC3-128G-G46,$14.00,$15.40
SDDDC3-128G-G46G,$14.00,$15.40
SDDDC3-128G-G46NB,$14.00,$15.40
SDDDC3-128G-G46PC,$14.00,$15.40
SDDDC3-256G-G46,$25.20,$27.70
SDDDC3-256G-G46G,$25.20,$27.70
SDDDC3-256G-G46NB,$25.20,$27.70
SDDDC3-256G-G46PC,$25.20,$27.70
SDDDC3-512G-G46,$47.60,$52.40
SDDDC4-032G-G46,$9.90,$10.90
SDDDC4-064G-G46,$11.10,$12.20
SDDDC4-128G-G46,$16.00,$17.60
SDDDC4-256G-G46,$27.20,$29.90
SDDDC4-512G-G46,$54.20,$59.60
SDDDC4-1T00-G46,$108.10,$118.90
SDSSDA-240G-G26,$34.60,$38.10
SDSSDA-480G-G26,$43.60,$48.00
SDSSDA-1T00-G27,$86.70,$95.40
SDSSDA-2T00-G26,$194.00,$213.40
SDSSDH3-500G-G26,$59.80,$65.80
SDSSDH3-1T00-G25,$101.40,$111.50
SDSSDH3-2T00-G25,$209.80,$230.80
SDSSDH3-4T00-G25,$462.80,$509.10
SDSSDE30-480G-G25,$71.00,$78.10
SDSSDE30-1T00-G26,$81.00,$89.10
SDSSDE30-2T00-G26,$140.00,$154.00
SDSSDE61-500G-G25,$91.00,$100.10
SDSSDE61-1T00-G25,$109.00,$119.90
SDSSDE61-2T00-G25,$174.00,$191.40
SDSSDE61-4T00-G25,$362.00,$398.20
SDSSDE61-1T00-G25B,$109.00,$119.90
SDSSDE61-2T00-G25B,$174.00,$191.40
SDSSDE61-4T00-G25B,$362.00,$398.20
SDSSDE61-1T00-G25M,$109.00,$119.90
SDSSDE61-2T00-G25M,$174.00,$191.40
SDSSDE61-4T00-G25M,$362.00,$398.20
SDSSDE81-1T00-G25,$145.00,$159.50
SDSSDE81-2T00-G25,$225.00,$247.50
SDSSDE81-4T00-G25,$449.00,$493.90
SDIX60N-064G-GN6NN,$36.00,$39.60
SDIX60N-128G-GN6NE,$48.50,$53.40
SDIX60N-256G-GN6NE,$73.90,$81.30
SDIX70N-064G-GN6NN,$40.60,$44.70
SDIX70N-128G-GN6NE,$53.60,$59.00
SDIX70N-256G-GN6NE,$77.70,$85.50
SDIX90N-032G-GN6NN,$24.50,$27.00
SDIX90N-064G-GN6NN,$26.00,$28.60
SDIX90N-064G-GN6NK,$26.00,$28.60
SDIX90N-128G-GN6NE,$36.50,$40.20
SDIX90N-128G-GN6NJ,$36.50,$40.20
SDIX90N-256G-GN6NE,$59.90,$65.90
SDDR-409-G46,$23.50,$25.90
SDDR-A631-GNGNN,$31.20,$34.30
SDDR-B531-GN6NN,$8.80,$9.70
