Item Code,Barcode (Barcodes)
SDDR-B531-GN6NN,619659169039
SDCFE-128G-GN4NN,619659180805
SDCFE-064G-GN4NN,619659180768
SDCFXSB-128G-G46,619659124748
SDCFXSB-064G-G46,619659123710
SDCFXSB-032G-G46,619659123680
SDCFXPS-256G-X46,619659102548
SDCFXPS-128G-X46,619659102500
SDCFXPS-064G-X46,619659102463
SDCFXPS-032G-X46,619659102432
SDSDXPK-128G-GN4IN,619659144517
SDSDXPK-064G-GN4IN,619659144463
SDSDXPK-032G-GN4IN,619659144319
SDSDXXG-032G-GN4IN,619659147655
SDSDXV5-256G-GNCIN,619659170653
SDSDXV5-128G-GNCIN,619659170622
SDSDXV6-064G-GNCIN,619659170684
SDSDXVE-032G-GNCIN,619659147037
SDSDUNR-256G-GN6IN,619659178222
SDSDUNR-128G-GN3IN,619659178116
SDSDUNR-064G-GN3IN,619659185282
SDSDUNR-032G-GN3IN,619659185275
SDSDUNS-016G-GN3IN,619659185305
SDSDUNC-016G-GN6IN,619659136451
SDSQXCZ-1T00-GN6MA,619659173807
SDSQXCZ-512G-GN6MA,619659173821
SDSQXCZ-400G-GN6MA,619659167370
SDSQXCZ-256G-GN6MA,619659167837
SDSQXCY-128G-GN6MA,619659169817
SDSQXCY-064G-GN6MA,619659169794
SDSQXCG-032G-GN6MA,619659155414
SDSQXAO-128G-GN6ZY,619659187194
SDSQXAO-256G-GNCZN,619659173869
SDSQXAO-128G-GNCZN,619659171520
SDSQXAT-064G-GNCZN,619659171537
SDSQXA1-128G-GN6AA,619659170714
SDSQXA2-064G-GN6AA,619659170738
SDSQXA1-256G-GN6GN,619659182458
SDSQXA1-128G-GN6GN,619659182434
SDSQXA2-064G-GN6GN,619659182472
SDSQXA1-1T00-GN6MN,619659173739
SDSQXA1-512G-GN6MN,619659173760
SDSQXA1-400G-GN6MN,619659165697
SDSQXA1-256G-GN6MN,619659169732
SDSQXA1-128G-GN6MN,619659169688
SDSQXA2-064G-GN6MN,619659169770
SDSQXAF-032G-GN6MN,619659155100
SDSQUA4-512G-GN6MN,619659181710
SDSQUA4-400G-GN6MN,619659181703
SDSQUA4-256G-GN6MN,619659181680
SDSQUAB-128G-GN6MN,619659181673
SDSQUA4-064G-GN6MN,619659181666
SDSQUA4-032G-GN6MN,619659184162
SDSQUAR-016G-GN6MN,619659161354
SDSQUNR-128G-GN3MN,619659196509
SDSQUNR-064G-GN3MN,619659185077
SDSQUNR-032G-GN3MN,619659184384
SDSQQVR-256G-GN6IA,619659178543
SDSQQVR-128G-GN6IA,619659178529
SDSQQVR-064G-GN6IA,619659178505
SDSQQNR-256G-GN6IA,619659173227
SDSQQNR-128G-GN6IA,619659161927
SDSQQNR-064G-GN6IA,619659173081
SDSQQNR-032G-GN6IA,619659078645
SDSDQM-032G-B35,619659061647
SDSDQM-016G-B35,619659052775
SDSDQM-008G-B35,619659052362
