Item Code,Selling
SDCFXSB-064G-G46,$58.70
SDCFXSB-128G-G46,$86.10
SDCFE-064G-GN4NN,$124.60
SDCFE-128G-GN4NN,$183.20
SDCFE-256G-GN4NN,$320.30
SDCFE-512G-GN4NN,$504.40
SDCZ50-008G-B35,$4.40
SDCZ50-016G-B35,$4.60
SDCZ50-032G-B35,$4.70
SDCZ50-064G-B35,$6.20
SDCZ50-128G-B35,$11.20
SDCZ50C-016G-B35BE,$4.60
SDCZ50C-016G-B35GE,$4.60
SDCZ50C-016G-B35PE,$4.60
SDCZ50C-016G-B35W,$4.60
SDCZ60-032G-B35,$5.10
SDCZ60-064G-B35,$6.40
SDCZ60-128G-B35,$11.60
SDCZ600-016G-G35,$5.20
SDCZ600-032G-G35,$5.50
SDCZ600-064G-G35,$6.80
SDCZ600-128G-G35,$12.00
SDCZ600-256G-G35,$23.70
SDCZ430-016G-G46,$6.60
SDCZ430-032G-G46,$6.80
SDCZ430-064G-G46,$8.10
SDCZ430-128G-G46,$13.20
SDCZ430-256G-G46,$26.10
SDCZ430-512G-G46,$51.90
SDCZ48-016G-U46,$5.50
SDCZ48-032G-U46,$5.70
SDCZ48-064G-U46,$7.20
SDCZ48-128G-U46,$12.50
SDCZ48-256G-U46,$24.90
SDCZ48-512G-G46,$49.50
SDCZ73-016G-G46,$5.90
SDCZ73-032G-G46,$6.20
SDCZ73-064G-G46,$7.50
SDCZ73-128G-G46,$13.20
SDCZ73-256G-G46,$26.10
SDCZ73-512G-G46,$51.90
SDCZ74-032G-G46,$7.90
SDCZ74-064G-G46,$9.00
SDCZ74-128G-G46,$14.60
SDCZ74-256G-G46,$27.50
SDCZ74-512G-G46,$53.40
SDCZ96-064G-G46,$8.60
SDCZ96-128G-G46,$13.80
SDCZ96-256G-G46,$25.50
SDCZ96-512G-G46,$49.00
SDCZ480-064G-G46,$9.20
SDCZ480-128G-G46,$15.50
SDCZ480-256G-G46,$29.00
SDCZ75-064G-G46,$10.00
SDCZ75-128G-G46,$16.60
SDCZ75-256G-G46,$30.90
SDCZ810-064G-G46,$22.70
SDCZ810-128G-G46,$37.60
SDCZ810-256G-G46,$65.80
SDCZ880-128G-G46,$49.10
SDCZ880-256G-G46,$79.80
SDCZ880-512G-G46,$143.30
SDCZ880-1T00-G46,$272.10
SDDDC2-032G-G46,$9.20
SDDDC2-064G-G46,$10.80
SDDDC2-128G-G46,$16.20
SDDDC2-256G-G46,$28.50
SDDDC3-032G-G46,$8.60
SDDDC3-064G-G46,$10.00
SDDDC3-064G-G46G,$10.00
SDDDC3-064G-G46NB,$10.00
SDDDC3-064G-G46PC,$10.00
SDDDC3-128G-G46,$15.40
SDDDC3-128G-G46G,$15.40
SDDDC3-128G-G46NB,$15.40
SDDDC3-128G-G46PC,$15.40
SDDDC3-256G-G46,$27.70
SDDDC3-256G-G46G,$27.70
SDDDC3-256G-G46NB,$27.70
SDDDC3-256G-G46PC,$27.70
SDDDC3-512G-G46,$52.40
SDDDC4-032G-G46,$10.90
SDDDC4-064G-G46,$12.20
SDDDC4-128G-G46,$17.60
SDDDC4-256G-G46,$29.90
SDDDC4-512G-G46,$59.60
SDDDC4-1T00-G46,$118.90
SDSSDA-240G-G26,$38.10
SDSSDA-480G-G26,$48.00
SDSSDA-1T00-G27,$95.40
SDSSDA-2T00-G26,$213.40
SDSSDH3-500G-G26,$65.80
SDSSDH3-1T00-G25,$111.50
SDSSDH3-2T00-G25,$230.80
SDSSDH3-4T00-G25,$509.10
SDSSDE30-480G-G25,$78.10
SDSSDE30-1T00-G26,$89.10
SDSSDE30-2T00-G26,$154.00
SDSSDE61-500G-G25,$100.10
SDSSDE61-1T00-G25,$119.90
SDSSDE61-2T00-G25,$191.40
SDSSDE61-4T00-G25,$398.20
SDSSDE61-1T00-G25B,$119.90
SDSSDE61-2T00-G25B,$191.40
SDSSDE61-4T00-G25B,$398.20
SDSSDE61-1T00-G25M,$119.90
SDSSDE61-2T00-G25M,$191.40
SDSSDE61-4T00-G25M,$398.20
SDSSDE81-1T00-G25,$159.50
SDSSDE81-2T00-G25,$247.50
SDSSDE81-4T00-G25,$493.90
SDIX60N-064G-GN6NN,$39.60
SDIX60N-128G-GN6NE,$53.40
SDIX60N-256G-GN6NE,$81.30
SDIX70N-064G-GN6NN,$44.70
SDIX70N-128G-GN6NE,$59.00
SDIX70N-256G-GN6NE,$85.50
SDIX90N-032G-GN6NN,$27.00
SDIX90N-064G-GN6NN,$28.60
SDIX90N-064G-GN6NK,$28.60
SDIX90N-128G-GN6NE,$40.20
SDIX90N-128G-GN6NJ,$40.20
SDIX90N-256G-GN6NE,$65.90
SDDR-409-G46,$25.90
SDDR-A631-GNGNN,$34.30
SDDR-B531-GN6NN,$9.70
