Item Code,Item Group,Default Unit of Measure,Standard Selling Rate,Brand,Allow Purchase,Item Name,Default Warehouse (Item Defaults),Company (Item Defaults),Barcode
810202000060,Phone Front Film,Nos,75,Rockspace,1,"Rockspace Front Film  High Definition Flexible explosion-proof film  (180-01Y Half-cut),Size:S Pack Qty:50pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402708733
810507000020,Phone Front Film,Nos,48,Rockspace,1,"Rockspace Front Film High Definition Flexible explosion-proof film(195-01Y Half-cut),Size:M Pack Qty:20pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402737269
810507000151,Phone Front Film,Nos,52,Rockspace,1,"Rockspace Front Film (Size: L mini) Rock Space High Definition Explosion 286-01Y (Only Used for ZC2-Lite/ZC3/ZC3-B Plotter),Size:L mini Pack Qty:10pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402774820 
810507000022,Phone Front Film,Nos,56,Rockspace,1,"Rockspace Front Film rock space High Definition Explosion-proof Film 290-01Y,Size:L Pack Qty:10pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402738150
810507000078,Phone Front Film,Nos,33.6,Rockspace,1,"Rockspace Front Film rock space High Definition Explosion-proof Film 410-01Y,Size:XL Pack Qty:3pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402762735 
810507000118,Phone Front Film,Nos,25.6,Rockspace,1,"Rockspace Front Film Flexible Matte Explosion-proof Film (Regular Version)  180MC-01J,Size:S Pack Qty:20pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402769031 
810507000098,Phone Front Film,Nos,30,Rockspace,1,"Rockspace Front Film  Flexible Gaming Matte Film 180MS-01Y,Size:S Pack Qty:20pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402767730 
810507000099,Phone Front Film,Nos,48,Rockspace,1,"Rockspace Front Film  Flexible Gaming Matte Film 195MS-01Y ,Size:M Pack Qty:20pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402767747 
810507000120,Phone Front Film,Nos,56,Rockspace,1,"Rockspace Front Film Flexible Gaming Matte Film 290MS-01Y,Size:L Pack Qty:10pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402770181 
810507000131,Phone Front Film,Nos,33.6,Rockspace,1,"Rockspace Front Film (Size:XL)rock space Matte Film 410*290mm 410MS-01Y,Size:XL Pack Qty:3pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402771997 
810507000117,Phone Front Film,Nos,32.8,Rockspace,1,"Rockspace Front Film Flexible Anti-blue Light Eye Care Film (Standard Version) 180LB-01Y,Size:S Pack Qty:20pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402769024 
810507000013,Phone Front Film,Nos,40,Rockspace,1,"Rockspace Front Film  Flexible Anti-blue Light Eye Care Film ?Half-Cut?180L-01Y,Size:S Pack Qty:20pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402736651
810507000032,Phone Front Film,Nos,56,Rockspace,1,"Rockspace Front Film  Flexible Anti-blue Light Eye Care Film 290L-01Y,Size:L Pack Qty:10pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402748760 
810507000046,Phone Front Film,Nos,36,Rockspace,1,"Rockspace Front Film Flexible Privacy Screen Protector 180F-01Y,Size:S Pack Qty:10pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402754020 
810507000127,Phone Front Film,Nos,51,Rockspace,1,"Rockspace Front Film Flexible Matte Privacy Film (Standard Version) (1*20pcs) EN (Half-cut)180FB-01Y (Size: S) 71577,Size:S Pack Qty:20pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402771577 
810607000204,Phone Front Film,Nos,52,Rockspace,1,"Rockspace Front Film  Flexible Antibacterial Explosion-proof Film 180KJ-01Y,Size:S Pack Qty:20pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402739843 
810302000001,Phone Front Film,Nos,20.8,Rockspace,1,"Rockspace Front Film Magnetic Laptop Privacy Film (HD),Size:13.3 Pack Qty:1pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402769826 
810302000002,Phone Front Film,Nos,22,Rockspace,1,"Rockspace Front Film Magnetic Laptop Privacy Film (HD),Size:14.2 Pack Qty:1pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402769833 
810302000003,Phone Front Film,Nos,24.4,Rockspace,1,"Rockspace Front Film Magnetic Laptop Privacy Film (HD),Size:16.2 Pack Qty:1pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402769840 
810507000101,Phone Front Film,Nos,52,Rockspace,1,"Rockspace Front Film  Flexible Resin High Hardness Film  English Version (Half-cut) 290SZG-01Y ,Size:L Pack Qty:10 pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402767938 
810607002809 ,Phone Back Film,Nos,9,Rockspace,1,"Rockspace BackFilm Translucent Foil Back Film-180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402771751 
810607002810 ,Phone Back Film,Nos,9,Rockspace,1,"Rockspace BackFilm Translucent Foil Back Film-180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402771768 
810607002811 ,Phone Back Film,Nos,9,Rockspace,1,"Rockspace BackFilm Translucent Foil Back Film-180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402771775 
810607002436 ,Phone Back Film,Nos,9,Rockspace,1,"Rockspace BackFilm Translucent Foil Back Film-180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402768164
810607002437 ,Phone Back Film,Nos,9,Rockspace,1,"Rockspace BackFilm Translucent Foil Back Film-180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402768171
810607002438 ,Phone Back Film,Nos,9,Rockspace,1,"Rockspace BackFilm  Translucent Foil Back Film-180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402768188
810607002439 ,Phone Back Film,Nos,9,Rockspace,1,"Rockspace BackFilm  Translucent Foil Back Film-180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402768195
810607002440 ,Phone Back Film,Nos,9,Rockspace,1,"Rockspace BackFilm  Translucent Foil Back Film-180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402768201 
810607002441 ,Phone Back Film,Nos,9,Rockspace,1,"Rockspace BackFilm  Translucent Foil Back Film-180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402768218 
810607002767 ,Phone Back Film,Nos,9,Rockspace,1,"Rockspace BackFilm  Translucent Foil Back Film-180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402771232 
810607002768 ,Phone Back Film,Nos,9,Rockspace,1,"Rockspace BackFilm  Translucent Foil Back Film-180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402771249 
810607002769 ,Phone Back Film,Nos,9,Rockspace,1,"Rockspace BackFilm  Translucent Foil Back Film-180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402771256 
810607002770 ,Phone Back Film,Nos,9,Rockspace,1,"Rockspace BackFilm  Translucent Foil Back Film-180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402771263 
810607002432 ,Phone Back Film,Nos,7,Rockspace,1,"Rockspace BackFilm  Chromatic Back Film  180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402768225 
810607002433 ,Phone Back Film,Nos,7,Rockspace,1,"Rockspace BackFilm Chromatic Back Film  180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402768232 
810607002434 ,Phone Back Film,Nos,7,Rockspace,1,"Rockspace BackFilm Chromatic Back Film  180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402768249 
810607002435 ,Phone Back Film,Nos,7,Rockspace,1,"Rockspace BackFilm Chromatic Back Film  180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402768256 
810607002531 ,Phone Back Film,Nos,7,Rockspace,1,"Rockspace BackFilm  Chromatic Back Film  180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402769000 
810607002532 ,Phone Back Film,Nos,7,Rockspace,1,"Rockspace BackFilm  Chromatic Back Film  180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402769017 
810607002528 ,Phone Back Film,Nos,9,Rockspace,1,"Rockspace BackFilm   Dark Back Film  180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402768973 
810607002529 ,Phone Back Film,Nos,9,Rockspace,1,"Rockspace BackFilm   Dark Back Film  180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402768980 
810607002530 ,Phone Back Film,Nos,9,Rockspace,1,"Rockspace BackFilm   Dark Back Film  180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402768997 
810607002633 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm Carbon Fiber Back Film 195*125mm,Size:M Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402770198 
810607002944 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm ViVid Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402774523 
810607002945 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm ViVid Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402774530 
810607002946 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm ViVid Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402774547 
810607002842 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm ViVid Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402772543 
810607002843 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm ViVid Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402772550 
810607002844 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm ViVid Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402772567 
810607002870 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm ViVid Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402772758 
810607002871 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm ViVid Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402772765 
810607002826 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm ViVid Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402772062 
810607002829 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm ViVid Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402772093 
810607002830 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm ViVid Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402772109 
810607002695 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm ViVid Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402770730 
810607002696 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm ViVid Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402770747 
810607002697 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm ViVid Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402770754 
810607002698 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm ViVid Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402770761 
810607002699 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm ViVid Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402770778 
810607001697 ,Phone Back Film,Nos,8,Rockspace,1,"Rockspace BackFilm Translucent Geometric Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402761110 
810607001699 ,Phone Back Film,Nos,8,Rockspace,1,"Rockspace BackFilm Translucent Geometric Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402761134 
810607001700 ,Phone Back Film,Nos,8,Rockspace,1,"Rockspace BackFilm Translucent Geometric Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402761141 
810607002216 ,Phone Back Film,Nos,9,Rockspace,1,"Rockspace BackFilm Translucent Geometric Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402765699 
810607002217 ,Phone Back Film,Nos,9,Rockspace,1,"Rockspace BackFilm Translucent Geometric Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402765705 
810607002218 ,Phone Back Film,Nos,9,Rockspace,1,"Rockspace BackFilm Translucent Geometric Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402765712 
810607002710 ,Phone Back Film,Nos,9,Rockspace,1,"Rockspace BackFilm Translucent Geometric Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402770853 
810607002711 ,Phone Back Film,Nos,9,Rockspace,1,"Rockspace BackFilm Translucent Geometric Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402770860 
810607002712 ,Phone Back Film,Nos,9,Rockspace,1,"Rockspace BackFilm Translucent Geometric Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402770877 
810607002713 ,Phone Back Film,Nos,9,Rockspace,1,"Rockspace BackFilm Translucent Geometric Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402770884 
810607002714 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm Translucent Geometric Back Film 195*125mm,Size:M Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402770891 
810607002715 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm Translucent Geometric Back Film 195*125mm,Size:M Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402770907 
810607002716 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm Translucent Geometric Back Film 195*125mm,Size:M Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402770914 
810607002717 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm Translucent Geometric Back Film 195*125mm,Size:M Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402770921 
810607001706 ,Phone Back Film,Nos,9,Rockspace,1,"Rockspace BackFilm Translucent Geometric Back Film 195*125mm,Size:M Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402761202 
810607001707 ,Phone Back Film,Nos,9,Rockspace,1,"Rockspace BackFilm Translucent Geometric Back Film 195*125mm,Size:M Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402761219 
810607001469 ,Phone Back Film,Nos,9,Rockspace,1,"Rockspace BackFilm Translucent Geometric Back Film 195*125mm,Size:M Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402759643 
810607001470 ,Phone Back Film,Nos,9,Rockspace,1,"Rockspace BackFilm Translucent Geometric Back Film 195*125mm,Size:M Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402759650 
810607002822 ,Phone Back Film,Nos,8,Rockspace,1,"Rockspace BackFilm (Size:S)rock space Splendid Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402772024 
810607002823 ,Phone Back Film,Nos,8,Rockspace,1,"Rockspace BackFilm (Size:S)rock space Splendid Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402772031 
810607002824 ,Phone Back Film,Nos,8,Rockspace,1,"Rockspace BackFilm (Size:S)rock space Splendid Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402772048 
810607002825 ,Phone Back Film,Nos,8,Rockspace,1,"Rockspace BackFilm (Size:S)rock space Splendid Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402772055 
810607002783,Phone Back Film,Nos,8,Rockspace,1,"Rockspace BackFilm Splendid Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402771478
810607002788,Phone Back Film,Nos,8,Rockspace,1,"Rockspace BackFilm Splendid Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402771522 
810607002868 ,Phone Back Film,Nos,8,Rockspace,1,"Rockspace BackFilm Splendid Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402772734 
810607002700 ,Phone Back Film,Nos,8,Rockspace,1,"Rockspace BackFilm Splendid Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402770785 
810607002702 ,Phone Back Film,Nos,8,Rockspace,1,"Rockspace BackFilm Splendid Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402770808 
810607002703 ,Phone Back Film,Nos,8,Rockspace,1,"Rockspace BackFilm Splendid Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402770815 
810607002704 ,Phone Back Film,Nos,8,Rockspace,1,"Rockspace BackFilm Splendid Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402770822 
810607001425 ,Phone Back Film,Nos,12,Rockspace,1,"Rockspace BackFilm Luxury Foil Back Film 195*125mm,Size:M Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402758929
810607001426 ,Phone Back Film,Nos,12,Rockspace,1,"Rockspace BackFilm Luxury Foil Back Film 195*125mm,Size:M Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402758936
810607001427 ,Phone Back Film,Nos,12,Rockspace,1,"Rockspace BackFilm Luxury Foil Back Film 195*125mm,Size:M Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402758943
810607001429 ,Phone Back Film,Nos,12,Rockspace,1,"Rockspace BackFilm Luxury Foil Back Film 195*125mm,Size:M Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402758967
810607001431 ,Phone Back Film,Nos,12,Rockspace,1,"Rockspace BackFilm Luxury Foil Back Film 195*125mm,Size:M Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402758981
810607001432 ,Phone Back Film,Nos,12,Rockspace,1,"Rockspace BackFilm Luxury Foil Back Film 195*125mm,Size:M Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402758998
810607001433 ,Phone Back Film,Nos,12,Rockspace,1,"Rockspace BackFilm Luxury Foil Back Film 195*125mm,Size:M Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402759001
810607001434 ,Phone Back Film,Nos,12,Rockspace,1,"Rockspace BackFilm Luxury Foil Back Film 195*125mm,Size:M Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402759018
810607002939 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm (Size:S)Translucent Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402774479 
810607002940 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm (Size:S)Translucent Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402774486 
810607002941 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm (Size:S)Translucent Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402774493 
810607002942 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm (Size:S)Translucent Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402774509 
810607002943 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm (Size:S)Translucent Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402774516 
810607002845 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm (Size:S)Translucent Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402772574 
810607002846 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm (Size:S)Translucent Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402772574 
810607002827 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm Translucent Embossing Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402772079 
810607002828 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm Translucent Embossing Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402772086 
810607002806 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm Translucent Embossing Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402771720 
810607002807 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm Translucent Embossing Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402771737 
810607002808 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm Translucent Embossing Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402771744 
810607002784 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm Translucent Embossing Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402771485
810607002785 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm Translucent Embossing Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402771492
810607002786 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm Translucent Embossing Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402771508
810607002787 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm Translucent Embossing Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402771515
810607001042 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm Translucent Embossing Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402754235 
810607001044 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm Translucent Embossing Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402754259 
810607001045 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm Translucent Embossing Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402754266 
810607001052 ,Phone Back Film,Nos,10,Rockspace,1,"Rockspace BackFilm Translucent Embossing Back Film 180*105mm,Size:S Pack Qty5pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402754334 
